FACILITY_TYPE,FACILITY_NAME,LOCATION,LAT,LONG
All weather pitches,Balbriggan Town Park,Balbriggan,53.60495962,-6.18235292
All weather pitches,Balheary Reservoir,Swords,53.47270964,-6.223015216
All weather pitches,Town Park,Skerries,53.57711359,-6.111072057
All weather pitches,St. Mologa's Park,Balbriggan,53.61766725,-6.189367941
Basketball Court,Seagrange Park,,53.3966675,-6.135351803
Basketball Court,Grace O'Malley Park,,53.38376709,-6.069939572
GAA Pitches,Broomfiled,Malahide,53.43915829,-6.144672088
GAA Pitches,St. Catherine's Park,Rush,53.53819802,-6.09594133
GAA Pitches,Malahide Demesne,Malahide,53.44781774,-6.157841327
GAA Pitches,Swords Manor,"Brackenstown, Swords",53.4591728,-6.249068963
GAA Pitches,Balheary Park,Swords,53.4671271,-6.220345107
GAA Pitches,Balheary Park,Swords,53.46603496,-6.216119689
GAA Pitches,Balheary Park,Swords,53.46734863,-6.21538771
GAA Pitches,Hartstown Park,,53.39592384,-6.411545178
GAA Pitches,Hartstown Park,,53.3953232,-6.412928388
GAA Pitches,Hunters Run/lLittlep,Clonee,53.40639169,-6.421910763
GAA Pitches,Skerries Town Park,Skerries,53.57652905,-6.109167442
GAA Pitches,Ballist Pit,Skerries,53.57529671,-6.117402223
GAA Pitches,St. Molaga's Park,Balbriggan,53.61813948,-6.18796362
GAA Pitches,Seagrange Park,,53.39378312,-6.136070937
Rugby Pitches,St. Mologa's Park,,53.6192924,-6.189092406
GAA Pitches,St. Catherines,Dublin 15,53.36620243,-6.46774754
GAA Pitches,St. Catherines,,53.36617334,-6.466007387
Seven-a-side,St. Catherine's Park,Rush,53.53933763,-6.094501551
Seven-a-side,Seabury,Malahide,53.45554712,-6.177811551
Seven-a-side,Ward River Valley,,53.45581365,-6.249574239
Seven-a-side,Balheary Park,Swords,53.46576141,-6.218398968
Seven-a-side,Balheary Park,Swords,53.46627097,-6.218101325
Seven-a-side,Balheary Park,Swords,53.46679781,-6.218095259
Seven-a-side,Balheary Reservoir ,Swords,53.47235378,-6.226153155
Seven-a-side,Balheary Reservoir,Swords,53.47263982,-6.225895953
Seven-a-side,Balheary Reservoir,Swords,53.47294799,-6.225615697
Seven-a-side,Hartstown Park,,53.39396808,-6.412110929
Seven-a-side,Hartstown Park,,53.39633848,-6.412923971
Seven-a-side,Hartstown Park,,53.39624244,-6.410370746
Seven-a-side,Mountview Park,,53.38945346,-6.405522699
Seven-a-side,St. Mologa's Park,Balbriggan,53.61589917,-6.185493215
Seven-a-side,St. Mologa's Park,Balbriggan,53.6156258,-6.183913547
Seven-a-side,Seagrange Park,,53.39392389,-6.138809984
Seven-a-side,Bayside School,Sutton,53.38977004,-6.149149635
Seven-a-side,Pinewood,Balbriggan,53.60653072,-6.179668159
Seven-a-side,St. Catherines,,53.36590857,-6.469471098
Seven-a-side,St. Catherines,,53.3659893,-6.470729018
Soccer pitches,Balbriggan Town Park,Balbriggan,53.60368998,-6.181384597
Soccer pitches,Balbriggan Town Park,Balbriggan,53.6046428,-6.181336096
Soccer pitches,Ball Alley/Remount ,Lusk,53.52512874,-6.160695341
Soccer pitches,Newbridge Demesne,Donabate,53.49050945,-6.176185655
Soccer pitches,Newbridge Demesne,Donabate,53.48988385,-6.17645552
Soccer pitches,Newbridge Demesne,Donabate,53.48929217,-6.176850139
Soccer pitches,Newbridge Demesne,Donabate,53.48862239,-6.177060187
Soccer pitches,Newbridge Demesne,Donabate,53.48977847,-6.174962376
Soccer pitches,Newbridge Demense,Donabate,53.48958663,-6.173583631
Soccer pitches,Newbridge Demesne,Donabate,53.48876401,-6.173403757
Soccer pitches,Carrickhill Park,Portmarnock,53.43174875,-6.139423426
Soccer pitches,St. Catherine's Park,Rush,53.53902901,-6.093378114
Soccer pitches,St. Catherine's Park,Rush,53.53855178,-6.097696922
Soccer pitches,Swords Manor,"Brackenstown, Swords",53.45903874,-6.251152729
Soccer pitches,Ward River Valley,Swords,53.45585553,-6.244886921
Soccer pitches,Balheary Park,Swords,53.46842646,-6.214605332
Soccer pitches,Balheary Park,Swords,53.46925622,-6.213933127
Soccer pitches,Balheary Reservoir,Swords,53.47220863,-6.224550603
Soccer pitches,Balheary Reservoir,Swords,53.47275321,-6.224378162
Soccer pitches,Balheary Reservoir,Swords,53.47293047,-6.227273551
Soccer pitches,Hartstown Park,,53.39579989,-6.413714663
Soccer pitches,Hartstown Park,,53.39509427,-6.414554775
Soccer pitches,Hartstown Park,Hartstown,53.39446878,-6.412589905
Soccer pitches,Mourne View,Skerries,53.58017025,-6.122714319
Soccer pitches,Mourne View,Skerries,53.58053313,-6.124987797
Soccer pitches,Town Park,Balbriggan,53.5756676,-6.107906212
Soccer pitches,Town Park,Skerries,53.57565233,-6.109498221
Soccer pitches,Coolmine Park,Blanchardstown,53.38953368,-6.392551169
Soccer pitches,Mountview Park,Blanchardstown,53.38895971,-6.407017371
Soccer pitches,Corduff Park,Corduff,53.39738747,-6.379675191
Soccer pitches,Parslickstown,Mulhuddart,53.4066945,-6.403995227
Soccer pitches,Lady's Well Park,Mulhuddart,53.40740987,-6.388167664
Soccer pitches,Danny's Pitches,Mulhuddart,53.41205406,-6.390186423
Soccer pitches,Grace O'Malley Park,Howth,53.38503439,-6.068512258
Soccer pitches,Corballis Road,Donabate,53.48380753,-6.136345995
Soccer pitches,Laurel Lodge,Castleknock,53.38109564,-6.371245586
Soccer pitches,St. Mologa's Park,Balbriggan,53.61707456,-6.186935045
Soccer pitches,St. Mologa's Park,Balbriggan,53.61669553,-6.18816813
Soccer pitches,St. Mologa's Park,Balbriggan,53.61654272,-6.189039119
Soccer pitches,Craoibhinn Park,Balbriggan,53.60508608,-6.176322095
Soccer pitches,Seagrange Park,,53.3960183,-6.135436582
Soccer pitches,Seagrange Park,Baldoyle,53.39503964,-6.135810194
Soccer pitches,Seagrange Park,,53.39236904,-6.13478697
GAA Pitches,Balrothery Park,Balrothery ,53.58425872,-6.191331302
Soccer pitches,St. Catherines,,53.36675763,-6.470434304
Soccer pitches,St. Catherines,,53.36669577,-6.469224053
Soccer pitches,St. Catherines,,53.3661192,-6.464200516
Tennis Courts,Seagrange Park,,53.39243051,-6.136276656
GAA Pitches,St. Catherines,"St. Catherines Demesne, Lucan",53.37111703,-6.467503045
GAA Pitches,Hazelbury Park,Castaheany,53.40105535,-6.428396869
Soccer pitches,Porterstown Park,Porterstown,53.3700809,-6.404259386
Soccer pitches,Robswall,Malahide,53.44186907,-6.135726687
Soccer pitches,Balheary  Reservoir,Swords,53.47199228,-6.223033892
